BeulyFm,contains,Palynomorphs
ScoltHeadFm,constitutedBy,Mudstone
MainsFm,isMemberOf,DunrobinBayGp
UppershorefaceDepositionalEnvironment,type,BeachDepositionalEnvironment
hasDirectNext,subPropertyOf,hasDirectPrevious
SmithBankFm,constitutedBy,Mudstone
WestoeCoalFm,type,LithostratigraphicUnit
UpperCretaceous,type,UpperCretaceousEpoch
NansenFm,isMemberOf,BanksGp
BraeFm,isMemberOf,HumberGp
LossieheadFm,depositedIn,ContinentalDepositionalEnv
OrrinFm,constitutedBy,Sandstone
BraeFm,constitutedBy,Conglomerate
HopemanSandstoneFm,isMemberOf,HeronGp
ScoltHeadFm,type,LithostratigraphicUnit
PentlandFm,depositedIn,FluvioDeltaicDepositionalEnvironment
Granite,type,IgneousIntrusiveRock
StatfjordFm,constitutedBy,Sandstone
BrigFm,type,LithostratigraphicUnit
TarbertFm,type,LithostratigraphicUnit
TurbotAnhydriteFm,hasAge,UpperPermian
CookFm,constitutedBy,Siltstone
OrrinFm,constitutedBy,Siltstone
AgglutinatedFossil,subClassOf,Fossil
HidraFm,type,LithostratigraphicUnit
DarwinFm,hasAge,LowerJurassic
BeulyFm,constitutedBy,Sandstone
PaleozoicEra,subClassOf,PhanerozoicEon
MillstoneGritFm,constitutedBy,Sandstone
DornochFm,hasAge,EarlyEocene
RodbyFm,constitutedBy,Mudstone
GridSandstoneMb,constitutedBy,Mudstone
DornochFm,contains,Diatoms
DornochFm,constitutedBy,Mudstone
ListaFm,constitutedBy,Mudstone
FlounderFm,type,LithostratigraphicUnit
HauptdolomitFm,constitutedBy,Mudstone
StotfieldCalcreteFm,constitutedBy,Mudstone
HeatherFm,constitutedBy,Mudstone
MiddleJurassicEpoch,subClassOf,JurassicPeriod
SvarteFm,constitutedBy,Mudstone
MetamorphicNonFoliatedRock,subClassOf,MetamorphicRock
CementstoneFm,depositedIn,ContinentalDepositionalEnv
NorthernNorthSea,type,GeoArea
BroraCoalFm,depositedIn,ContinentalDepositionalEnv
BosiesBankFm,constitutedBy,Siltstone
MarineDepositionalEnv,type,MarineDepositionalEnvironment
GlacialDepositionalEnvironment,subClassOf,DepositionalEnvironment
MainsFm,constitutedBy,Mudstone
MillstoneGritFm,depositedIn,MarineDepositionalEnv
FluvialChannel,type,FluvialDepositionalEnvironment
YoredaleFm,constitutedBy,Limestone
BackshoreDepositionalEnvironment,type,BeachDepositionalEnvironment
BroraCoalFm,constitutedBy,Sandstone
ChalkGp,type,LithostratigraphicUnit
BosiesBankFm,depositedIn,ContinentalDepositionalEnv
TidalFlatDepositionalEnv,type,TidalDepositionalEnvironment
BrentGp,type,LithostratigraphicUnit
ShallowMarineDepositionalEnvironment,subClassOf,MarineDepositionalEnvironment
Quartzite,type,MetamorphicNonFoliatedRock
AmundsenFm,hasAge,LowerJurassic
DowsingFm,depositedIn,TransitionalDepositionalEnv
HalibutCarbonateFm,constitutedBy,Dolostone
Marl,type,SedimentaryRock
hasPrevious,type,ObjectProperty
SpekeFm,constitutedBy,Mudstone
SmithBankFm,hasAge,EarlyTriassic
BlakeneyFm,hasAge,UpperPermian
TritonFm,isMemberOf,HaisboroughGp
DeltaPlainDepositionalEnvironment,type,DeltaicDepositionalEnvironment
BraeFm,constitutedBy,Sandstone
Cretaceous,type,CretaceousPeriod
BlakeneyFm,isMemberOf,ZechsteinGp
Radiolarians,type,OrganicWalledFossil
BosiesBankFm,type,LithostratigraphicUnit
ShelfDepositionalEnvironment,type,MarineDepositionalEnvironment
PhanerozoicEon,subClassOf,GeochronologicTime
PegmatitanhydritFm,type,LithostratigraphicUnit
WickSandstoneFm,contains,CalcareousNannofossils
FellSandstoneFm,isMemberOf,FarneGp
LossieheadFm,isMemberOf,HeronGp
GridSandstoneMb,isMemberOf,StronsayGp
MarineDepositionalEnvironment,subClassOf,DepositionalEnvironment
CaisterCoalFm,depositedIn,TransitionalDepositionalEnv
WestoeCoalFm,constitutedBy,Coal
FlounderFm,hasAge,LateCretaceous
EmeraldFm,contains,Palynomorphs
CementstoneFm,isMemberOf,FarneGp
CalcareousFossil,subClassOf,Fossil
YoredaleFm,type,LithostratigraphicUnit
SpekeFm,contains,PollenSpores
SmithBankFm,isMemberOf,HeronGp
LowerTriassicEpoch,subClassOf,TriassicPeriod
SkadeFm,depositedIn,MarineDepositionalEnv
FellSandstoneFm,hasAge,EarlyCarboniferous
SiliceousFossil,subClassOf,Fossil
RotliegendGp,type,LithostratigraphicUnit
BritanniaSandstoneFm,depositedIn,MarineDepositionalEnv
WerraanhydritFm,type,LithostratigraphicUnit
AllerHaliteFm,type,LithostratigraphicUnit
LowerCretaceous,type,LowerCretaceousEpoch
CaisterCoalFm,hasAge,LateCarboniferous
Schist,type,MetamorphicFoliatedRock
ValhallFm,hasAge,EarlyCretaceous
JorsalfareFm,hasAge,LateCretaceous
HauptanhydritFm,isMemberOf,ZechsteinGp
BroomFm,type,LithostratigraphicUnit
Slate,type,MetamorphicFoliatedRock
PlattendolomitFm,hasAge,UpperPermian
YoredaleFm,isMemberOf,FarneGp
BasalanhydritFm,depositedIn,TransitionalDepositionalEnv
MackerelFm,isMemberOf,ChalkGp
ZechsteinkalkFm,depositedIn,MarineDepositionalEnv
DunlinGp,type,LithostratigraphicUnit
BowlandShaleFm,constitutedBy,Mudstone
HerringFm,type,LithostratigraphicUnit
SkagerrakFm,constitutedBy,Mudstone
Acritarchs,type,SiliceousFossil
DeltaicDepositionalEnvironment,subClassOf,TransitionalDepositionalEnvironment
LowerJurassicEpoch,subClassOf,JurassicPeriod
Gneiss,type,MetamorphicFoliatedRock
SmithBankFm,type,LithostratigraphicUnit
WerraanhydritFm,constitutedBy,Dolostone
Rhyolite,type,IgneousExtrusiveRock
Dinoflagellates,type,SiliceousFossil
PlattendolomitFm,type,LithostratigraphicUnit
HidraFm,constitutedBy,Limestone
MaureenFm,type,LithostratigraphicUnit
HauptanhydritFm,type,LithostratigraphicUnit
Tuff,type,IgneousExtrusiveRock
EkofiskFm,isMemberOf,ChalkGp
GrenzanhydritFm,isMemberOf,ZechsteinGp
SeleFm,constitutedBy,Mudstone
CementstoneFm,hasAge,EarlyCarboniferous
SchoonerFm,constitutedBy,Coal
Carbonate,type,SedimentaryRock
NansenFm,type,LithostratigraphicUnit
DarwinFm,type,LithostratigraphicUnit
FraserburghFm,isMemberOf,RotliegendGp
FindhornFm,type,LithostratigraphicUnit
CementstoneFm,type,LithostratigraphicUnit
HopemanSandstoneFm,constitutedBy,Sandstone
WhitehurstGp,type,LithostratigraphicUnit
BosiesBankFm,hasAge,UpperPermian
ZechsteinkalkFm,isMemberOf,ZechsteinGp
BrigFm,depositedIn,ContinentalDepositionalEnv
BunterSandstoneFm,type,LithostratigraphicUnit
DornochFm,depositedIn,TransitionalDepositionalEnv
EmeraldFm,constitutedBy,Sandstone
MiddleTriassic,hasDirectNext,UpperTriassic
DudgeonFm,constitutedBy,Mudstone
Scoria,type,IgneousExtrusiveRock
BroraCoalFm,constitutedBy,Mudstone
ShearwaterSaltFm,depositedIn,TransitionalDepositionalEnv
MaureenFm,constitutedBy,Mudstone
SvarteFm,hasAge,LateCretaceous
HuginFm,type,LithostratigraphicUnit
AlluvialDepositionalEnvironment,subClassOf,ContinentalDepositionalEnvironment
