lithofm,geoarea1,geoarea2,lithogp,chrono,rock1,rock2,rock3,fossils1,fossils2,depo,depo2,depo3,depo4
BraeFm,CentralNorthSea,,HumberGp,UpperJurassic,Sandstone,Mudstone,Conglomerate,Palynomorphs,,MarineDepositionalEnv,AbyssalFan,,
EmeraldFm,NorthernNorthSea,,HumberGp,UpperJurassic,Sandstone,Siltstone,Limestone,Palynomorphs,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,,
FulmarFm,CentralNorthSea,,HumberGp,UpperJurassic,Sandstone,Sandstone,,Palynomorphs,,MarineDepositionalEnv,CoastalToShallowMarineDepositionalEnvironment,,
HeatherFm,NorthernNorthSea,CentralNorthSea,HumberGp,UpperJurassic,Mudstone,Siltstone,Mudstone,Foraminifera,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,ShelfDepositionalEnvironment,
PiperFm,CentralNorthSea,,HumberGp,UpperJurassic,Sandstone,,,Palynomorphs,,MarineDepositionalEnv,ShallowMarineDepositionalEnv,,
BeatriceFm,CentralNorthSea,,FladenGp,MiddleJurassic,Sandstone,,,Palynomorphs,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,OpenMarine,
BroraCoalFm,CentralNorthSea,,FladenGp,MiddleJurassic,Sandstone,Mudstone,Coal,dinoflagellates,,ContinentalDepositionalEnv,AlluvialDepositionalEnv,FluvialDepositionalEnv,LagoonalDepositionalEnv
HuginFm,NorthernNorthSea,,FladenGp,MiddleJurassic,Sandstone,Mudstone,Siltstone,Palynomorphs,,ContinentalDepositionalEnv,CoastalToShallowMarineDepositionalEnvironment,DeltaFrontDepositionalEnvironment,
PentlandFm,NorthernNorthSea,CentralNorthSea,FladenGp,MiddleJurassic,VolcanicDeposits,Sandstone,Mudstone,PollenSpores,Palynomorphs,ContinentalDepositionalEnv,FluvioDeltaicDepositionalEnvironment,,
BroomFm,NorthernNorthSea,,BrentGp,MiddleJurassic,Sandstone,,,,,TransitionalDepositionalEnv,Delta,,
EtiveFm,NorthernNorthSea,,BrentGp,MiddleJurassic,Sandstone,,,,,TransitionalDepositionalEnv,FluvioDeltaicDepositionalEnvironment,,
NessFm,NorthernNorthSea,,BrentGp,MiddleJurassic,Sandstone,Coal,,Palynomorphs,PollenSpores,TransitionalDepositionalEnv,Delta,,
RannochFm,NorthernNorthSea,,BrentGp,MiddleJurassic,Sandstone,Mudstone,,,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,,
TarbertFm,NorthernNorthSea,,BrentGp,MiddleJurassic,Sandstone,,,PollenSpores,dinoflagellates,MarineDepositionalEnv,ShallowMarineDepositionalEnv,LagoonalDepositionalEnv,
GolspieFm,CentralNorthSea,,DunrobinBayGp,LowerJurassic,Mudstone,,,,,TransitionalDepositionalEnv,AlluvialDepositionalEnv,LagoonalDepositionalEnv,
LadysWalkFm,CentralNorthSea,,DunrobinBayGp,LowerJurassic,Mudstone,,,Palynomorphs,,MarineDepositionalEnv,ShelfDepositionalEnvironment,,
MainsFm,CentralNorthSea,,DunrobinBayGp,LowerJurassic,Sandstone,Siltstone,Mudstone,PollenSpores,,MarineDepositionalEnv,ShallowMarineDepositionalEnv,,
OrrinFm,CentralNorthSea,,DunrobinBayGp,LowerJurassic,Siltstone,Sandstone,,,,TransitionalDepositionalEnv,DeltaFrontDepositionalEnvironment,LagoonalDepositionalEnv,
AmundsenFm,NorthernNorthSea,,DunlinGp,LowerJurassic,Siltstone,Mudstone,Sandstone,Palynomorphs,,MarineDepositionalEnv,ShelfDepositionalEnvironment,,
BurtonFm,NorthernNorthSea,,DunlinGp,LowerJurassic,Mudstone,,,,,MarineDepositionalEnv,OpenMarine,,
CookFm,NorthernNorthSea,,DunlinGp,LowerJurassic,Siltstone,Mudstone,,Palynomorphs,,MarineDepositionalEnv,OuterShelfDepositionalEnvironment,,
DarwinFm,NorthernNorthSea,,DunlinGp,LowerJurassic,Siltstone,Sandstone,,Palynomorphs,,MarineDepositionalEnv,ShallowMarineDepositionalEnv,,
DrakeFm,NorthernNorthSea,,DunlinGp,LowerJurassic,Mudstone,,,Foraminifera,,MarineDepositionalEnv,ProdeltaDepositionalEnvironment,,
SpekeFm,NorthernNorthSea,,DunlinGp,LowerJurassic,Sandstone,Siltstone,Mudstone,PollenSpores,,ContinentalDepositionalEnv,AlluvialDepositionalEnv,,
NansenFm,NorthernNorthSea,,BanksGp,LowerJurassic,Sandstone,,,Foraminifera,,MarineDepositionalEnv,CoastalToShallowMarineDepositionalEnvironment,Delta,
StatfjordFm,NorthernNorthSea,,BanksGp,LowerJurassic,Sandstone,Siltstone,Mudstone,,,ContinentalDepositionalEnv,DeltaPlainDepositionalEnvironment,,
BritanniaSandstoneFm,CentralNorthSea,,CromerKnollGp,LowerCretaceous,Sandstone,Mudstone,,Palynomorphs,,MarineDepositionalEnv,Turbidity-flowDeposit,,
CarrackFm,CentralNorthSea,NorthernNorthSea,CromerKnollGp,LowerCretaceous,Mudstone,Siltstone,,Foraminifera,,MarineDepositionalEnv,DeepMarineDepositionalEnvironment,,
RodbyFm,CentralNorthSea,NorthernNorthSea,CromerKnollGp,LowerCretaceous,Mudstone,Limestone,,Foraminifera,,MarineDepositionalEnv,OpenMarine,DeepMarineDepositionalEnvironment,
ValhallFm,CentralNorthSea,NorthernNorthSea,CromerKnollGp,LowerCretaceous,Mudstone,Limestone,,Foraminifera,,MarineDepositionalEnv,OpenMarine,,
WickSandstoneFm,CentralNorthSea,,CromerKnollGp,LowerCretaceous,Sandstone,Siltstone,Mudstone,CalcareousNannofossils,,MarineDepositionalEnv,Turbidity-flowDeposit,,
