Dataset,Train batch,Learning rate,Epochs,MR,MRR,Hits@10,MR Left,MR Right,Hits@3 ,Hits@1
GeoLit,16,2,5,18,0.3,0.52,31,5,0.38,0.17
GeoLit,16,2,5,18,0.35,0.57,32,4,0.4,0.15
GeoLit,16,2,5,17,0.33,0.57,30,5,0.39,0.2
GeoLit,16,2,5,18,0.3,0.55,31,6,0.34,0.15
GeoLit,16,2,5,16,0.35,0.6,27,5,0.44,0.2
GeoLit,32,2,2,19,0.21,0.53,29,9,0.19,0.08
GeoLit,32,2,2,23,0.22,0.46,34,11,0.27,0.09
GeoLit,32,2,2,24,0.25,0.46,35,14,0.23,0.15
GeoLit,32,2,2,73,0.12,0.22,70,76,0.12,0.07
GeoLit,32,2,2,41,0.22,0.31,50,32,0.23,0.15
GeoLit,32,2,3,20,0.3,0.55,33,7,0.36,0.17
GeoLit,32,2,3,18,0.31,0.53,29,6,0.42,0.16
GeoLit,32,2,3,21,0.32,0.56,36,6,0.36,0.2
GeoLit,32,2,3,36,0.08,0.16,37,36,0.04,0.01
GeoLit,32,2,3,22,0.24,0.55,31,22,0.34,0.08
GeoLit,32,2,5,18,0.36,0.59,30,5,0.39,0.24
GeoLit,32,2,5,22,0.26,0.49,32,12,0.22,0.18
GeoLit,32,2,5,16,0.37,0.58,29,4,0.46,0.24
GeoLit,32,2,5,17,0.35,0.6,29,4,0.44,0.22
GeoLit,32,2,5,16,0.4,0.59,28,4,0.49,0.27
GeoLit,32,2,7,17,0.43,0.6,30,4,0.45,0.33
GeoLit,32,2,7,18,0.33,0.57,31,6,0.4,0.2
GeoLit,32,2,7,16,0.34,0.6,28,5,0.43,0.22
GeoLit,32,2,7,17,0.28,0.59,29,5,0.42,0.08
GeoLit,32,2,7,17,0.32,0.59,29,5,0.38,0.18
GeoLit,32,3,5,17,0.39,0.59,28,5,0.42,0.29
GeoLit,32,3,5,17,0.33,0.56,27,6,0.35,0.21
GeoLit,32,3,5,20,0.24,0.56,31,9,0.31,0.07
GeoLit,32,3,5,17,0.36,0.62,28,5,0.63,0.2
GeoLit,32,3,5,18,0.36,0.6,31,5,0.47,0.22
GeoLit,32,4,5,64,0.15,0.26,33,94,0.18,0.06
GeoLit,32,4,5,19,0.28,0.57,29,10,0.39,0.1
GeoLit,32,4,5,19,0.26,0.53,28,10,0.33,0.11
GeoLit,32,4,5,16,0.32,0.59,27,5,0.44,0.13
GeoLit,32,4,5,18,0.25,0.51,28,7,0.32,0.08
GeoLit,32,5,5,22,0.26,0.53,31,13,0.31,0.13
GeoLit,32,5,5,29,0.19,0.41,37,21,0.16,0.1
GeoLit,32,5,5,19,0.28,0.53,28,9,0.28,0.18
GeoLit,32,5,5,17,0.34,0.58,30,5,0.45,0.19
GeoLit,32,5,5,22,0.24,0.52,31,12,0.3,0.09
GeoLit-Long,16,2,5,17,0.34,0.61,28,6,0.38,0.22
GeoLit-Long,16,2,5,16,0.32,0.6,34,8,0.33,0.21
GeoLit-Long,16,2,5,20,0.29,0.55,32,9,0.33,0.16
GeoLit-Long,16,2,5,16,0.38,0.67,29,8,0.42,0.25
GeoLit-Long,16,2,5,16,0.32,0.63,25,7,0.42,0.15
GeoLit-Long,32,2,2,37,0.19,0.4,41,33,0.17,0.1
GeoLit-Long,32,2,2,22,0.27,0.46,32,12,0.28,0.16
GeoLit-Long,32,2,2,22,0.29,0.56,34,10,0.36,0.15
GeoLit-Long,32,2,2,94,0.05,0.1,56,132,0.03,0.01
GeoLit-Long,32,2,2,24,0.21,0.47,35,13,0.21,0.09
GeoLit-Long,32,2,5,16,0.34,0.61,25,7,0.41,0.18
GeoLit-Long,32,2,5,16,0.4,0.64,26,6,0.44,0.28
GeoLit-Long,32,2,5,14,0.35,0.67,23,7,0.42,0.19
GeoLit-Long,32,2,5,15,0.28,0.65,23,7,0.35,0.12
GeoLit-Long,32,2,5,15,0.33,0.65,24,6,0.39,0.17
GeoLit-Long,32,2,7,18,0.26,0.54,27,9,0.3,0.11
GeoLit-Long,32,2,7,15,0.35,0.64,24,6,0.43,0.19
GeoLit-Long,32,2,7,19,0.26,0.57,30,8,0.3,0.11
GeoLit-Long,32,2,7,19,0.29,0.57,31,7,0.35,0.14
GeoLit-Long,32,2,7,17,0.32,0.61,25,8,0.39,0.3
GeoLit-Long,32,3,5,16,0.31,0.67,24,7,0.42,0.12
GeoLit-Long,32,3,5,18,0.33,0.59,28,7,0.36,0.19
GeoLit-Long,32,3,5,22,0.25,0.56,31,12,0.29,0.09
GeoLit-Long,32,3,5,18,0.25,0.57,24,11,0.3,0.1
GeoLit-Long,32,3,5,16,0.24,0.65,25,7,0.43,0.21
GeoLit-Long,32,4,5,22,0.27,0.6,29,14,0.35,0.11
GeoLit-Long,32,4,5,16,0.3,0.62,25,8,0.36,0.14
GeoLit-Long,32,4,5,21,0.3,0.51,30,11,0.32,0.2
GeoLit-Long,32,4,5,16,0.33,0.64,25,7,0.44,0.15
GeoLit-Long,32,4,5,19,0.32,0.52,26,12,0.34,0.2
GeoLit-Long,32,5,5,29,0.17,0.43,40,18,0.23,0.04
GeoLit-Long,32,5,5,19,0.29,0.6,29,9,0.36,0.13
GeoLit-Long,32,5,5,18,0.31,0.57,26,9,0.34,0.18
GeoLit-Long,32,5,5,27,0.25,0.5,37,15,0.27,0.13
GeoLit-Long,32,5,5,18,0.31,0.61,28,8,0.4,0.15
