,batches_count,seed,epochs,k,eta,loss,regularizer,optimizer,verbose,regularizer_params,optimizer_params,mrr,mr,hits_1,hits_3,hits_10
0,20,42,3,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.10768922054211978,115.58730158730158,0.06349206349206349,0.1111111111111111,0.15873015873015872
1,20,42,3,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.11156435875151713,99.2063492063492,0.06349206349206349,0.0873015873015873,0.1984126984126984
2,20,42,3,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.11985662852111945,87.24603174603175,0.031746031746031744,0.16666666666666666,0.2619047619047619
3,20,42,4,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.15955039954299383,108.14285714285714,0.11904761904761904,0.15873015873015872,0.20634920634920634
4,20,42,4,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.14563556855756135,91.78571428571429,0.07936507936507936,0.16666666666666666,0.25396825396825395
5,20,42,4,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.1527164224338186,82.21428571428571,0.05555555555555555,0.1984126984126984,0.30952380952380953
6,20,42,5,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.18213193218350207,101.23809523809524,0.14285714285714285,0.16666666666666666,0.2857142857142857
7,20,42,5,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.16815954219708343,87.73809523809524,0.10317460317460317,0.18253968253968253,0.30158730158730157
8,20,42,5,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.1641794890572747,79.43650793650794,0.07142857142857142,0.1984126984126984,0.3253968253968254
9,40,42,3,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.164999298634572,100.33333333333333,0.12698412698412698,0.1746031746031746,0.23015873015873015
10,40,42,3,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.1632913156398088,86.08730158730158,0.07142857142857142,0.21428571428571427,0.3333333333333333
11,40,42,3,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.1644723783975032,81.0,0.06349206349206349,0.2222222222222222,0.35714285714285715
12,40,42,4,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.19298237742866345,91.39682539682539,0.1349206349206349,0.20634920634920634,0.30158730158730157
13,40,42,4,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.1970562417710062,81.36507936507937,0.11904761904761904,0.21428571428571427,0.3412698412698413
14,40,42,4,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.17760012807528913,77.30952380952381,0.07936507936507936,0.21428571428571427,0.36507936507936506
15,40,42,5,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.21898197240078712,82.36507936507937,0.1349206349206349,0.2698412698412698,0.3412698412698413
16,40,42,5,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.2053101110783513,76.73809523809524,0.1111111111111111,0.2222222222222222,0.40476190476190477
17,40,42,5,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.19077404012672314,72.66666666666667,0.0873015873015873,0.23015873015873015,0.3888888888888889
18,60,42,3,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.18432893915545784,91.45238095238095,0.12698412698412698,0.18253968253968253,0.30158730158730157
19,60,42,3,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.19034234159564473,80.26984126984127,0.1111111111111111,0.2222222222222222,0.3492063492063492
20,60,42,3,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.2067775851462598,75.12698412698413,0.12698412698412698,0.23809523809523808,0.36507936507936506
21,60,42,4,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.22144425556525796,83.10317460317461,0.15079365079365079,0.2619047619047619,0.3412698412698413
22,60,42,4,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.22338593621611016,75.67460317460318,0.1349206349206349,0.24603174603174602,0.373015873015873
23,60,42,4,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.2083447798096957,72.46825396825396,0.1111111111111111,0.2619047619047619,0.3888888888888889
24,60,42,5,20,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.24654293231555274,77.02380952380952,0.1746031746031746,0.2857142857142857,0.373015873015873
25,60,42,5,60,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.2373163400068286,71.07142857142857,0.14285714285714285,0.25396825396825395,0.42857142857142855
26,60,42,5,100,1,pairwise,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},0.2408962513904362,70.12698412698413,0.15079365079365079,0.25396825396825395,0.42063492063492064
